@id,area,highway,name,centroid_lon,centroid_lat,source,bridge,layer,oneway,lanes,surface,ref,foot,service,junction,name:en,trail_visibility,incline,access,bicycle,horse,motor_vehicle,maxspeed,tunnel,lit,railway,description,segregated,construction,maxspeed:advisory,minspeed,overtaking,sidewalk,check_date
way/147108616,,residential,,88.45522554753333,22.933604016901278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/147108617,,residential,,88.45496873502303,22.93357045011507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/147404880,,service,,88.46707299740005,22.974771996650617,,,,,,,,,driveway,,,,,,,,,,,,,,,,,,,,
way/147404881,,service,,88.47104826157911,22.975685551143457,,,,,,,,,driveway,,,intermediate,,,,,,,,,,,,,,,,,
way/147404882,,service,,88.47007498496829,22.97530842769785,,,,,,,,,driveway,,,,,,,,,,,,,,,,,,,,
way/147404883,,service,,88.46980572185971,22.974664557083273,,,,,,,,,driveway,,,,,,,,,,,,,,,,,,,,
way/147404884,,service,,88.4671932,22.9738774,,,,,,,,,driveway,,,,,,,,,,,,,,,,,,,,
way/147404885,,service,,88.46821051084383,22.97367437002595,,,,,,,,,driveway,,,,,,,,,,,,,,,,,,,,
way/147404886,,service,,88.46998545,22.9745022,,,,,,,,,driveway,,,,,,,,,,,,,,,,,,,,
way/147404887,,service,,88.46747440619329,22.973803409663347,,,,,,,,,driveway,,,,,,,,,,,,,,,,,,,,
way/147404888,,service,,88.4684890830518,22.97497107118568,,,,,,,,,driveway,,,,,,,,,,,,,,,,,,,,
way/147409907,,residential,,88.46613628293736,22.96136571269439,,,,,2,,,,driveway,,,,,,,,,,,,,,,,,,,,
way/147409908,,residential,,88.47155386135357,22.96179095403926,,,,no,,asphalt,,,,,,,,,,,,,,,,,,,,,,,
way/147409909,,residential,,88.46722544578826,22.96032141294397,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,
way/147409910,,residential,,88.46781843860148,22.96023897142602,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,
way/147409911,,residential,,88.47008980769816,22.963461089849368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/147409912,,residential,,88.47286221126068,22.963273214467804,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,
way/147409913,,residential,,88.47160575300389,22.964089084240516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/147409914,,residential,,88.47175586901642,22.963465622807835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/147409915,,residential,,88.47174914380142,22.96382613739451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/147409916,,residential,,88.46620224487268,22.95965226651354,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,
way/147430393,,unclassified,,88.47429537464171,22.971900686028814,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
way/147431456,,service,,88.46924465000001,22.9752924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/147431457,,service,,88.46977670000001,22.97614955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/147431644,,service,,88.46763685507976,22.97298231469907,,,,,,,,,driveway,,,,,,,,,,,,,,,,,,,,
way/147431645,,service,,88.46794702372493,22.972389403084993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/147682952,,tertiary,,88.4646429785993,22.98546142398164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/147683074,,track,,88.47864284635139,22.9895606002393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/147683075,,tertiary,,88.47561511292439,22.981909681470203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/147683814,,primary,,88.44881031484064,22.981476918976526,,,,,,,SH1,,,,,,,,,,,,,,,,,,,,,,
way/147686883,,tertiary,,88.45492472433686,22.977781596034202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/147686885,,tertiary,,88.43899790103445,22.98177753814083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/147689033,,residential,University Campus Road,88.4489023837888,22.98562423559544,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
way/147706650,,footway,,88.46672401777292,22.967799134081186,,yes,,no,,,,,,,,,,,,,,,,,,,,,,,,,
way/147706655,,steps,,88.46797255,22.969308249999997,,yes,,,,,,,,,,,down,,,,,,,,,,,,,,,,
way/147841279,,steps,,88.46774915,22.96946235,,yes,,,,,,designated,,,,,,yes,no,no,no,,,,,,,,,,,,
way/147841288,,steps,,88.46691185,22.96777405,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/147841847,,tertiary_link,,88.4668516576376,22.969550493246583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/147841849,,tertiary_link,,88.46723621657344,22.96933454016344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/147934421,,primary,,88.45389878119674,22.98946781631432,,,,,,,SH1,,,,,,,,,,,,,,,,,,,,,,
way/147934427,,primary,,88.45081978278559,22.984643262265035,,,,,1,,SH1,,,,,,,,,,,,,,,,,,,,,,
way/147934431,,primary,,88.45260178049068,22.98775721392614,,,,,,,SH1,,,,,,,,,,,,,,,,,,,,,,
way/147934434,,primary,,88.45290840065115,22.987563079082975,,,,,,,SH1,,,,,,,,,,,,,,,,,,,,,,
way/147934435,,unclassified,University Campus Rd,88.44116512507337,22.98193489232215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/147934440,,residential,University Campus Road,88.44619258361165,22.985266519121165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/147934448,,residential,,88.44689431414231,22.982125394532172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/148029005,,primary,,88.46667195439166,23.008387527606846,,,,,,,SH1,,,,,,,,,,,,,,,,,,,,,,
way/161136326,,residential,,88.38685064253289,22.98460466211383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/161136343,,secondary,,88.40061902478023,22.936015713244743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/165014016,,secondary,,88.46012706011543,22.980772403801787,,,,no,4,,,,,,,,,,,,,,,,,,,,,,,,
way/165014017,,primary,Kalyani Road,88.48625917619401,22.97458750007829,,,,yes,4,,,,,,National Highway 34 Connector,,,,,,,,,,,,,,,,,,
way/165014033,,tertiary,,88.4776004371545,22.96374639837804,Yahoo hires,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/165014040,,unclassified,,88.44500197644122,22.981629517283807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/165014041,,unclassified,,88.44680919999999,22.98231465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/165014044,,tertiary,,88.44280144447762,22.987634708947468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/165014045,,residential,,88.44538618006696,22.980072558279723,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
way/165014046,,primary,,88.45454327617631,22.991107923923114,,,,,,,SH1,,,,,,,,,,,,,,,,,,,,,,
way/165014051,,tertiary,,88.441431209793,22.991562085629766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/165014053,,residential,,88.44764610491345,22.981769370027468,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
way/186555981,,residential,,88.4409001,22.9753828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/186555982,,residential,,88.44132654338317,22.975683000792525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/186555984,,residential,,88.44043868696768,22.974142926266275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/186555986,,residential,,88.44062238913011,22.97458667223613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/186555989,,residential,,88.441909422401,22.976202265451708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/186555990,,residential,,88.44231809164894,22.97632445253879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/186555991,,residential,,88.44122012428531,22.976097412117362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/186670929,,residential,,88.43113665008639,22.971657561931796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/186670931,,residential,,88.42949929073349,22.971787711309208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/186670934,,residential,,88.43158672962626,22.973266723922247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/239924696,,tertiary,,88.39896278901053,22.953840192981964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/240336405,,residential,,88.43974239531418,22.977957216152067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/240336406,,residential,,88.44025076049618,22.978786416760276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/240336408,,residential,,88.43869249810987,22.977326350899375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/240336410,,residential,,88.43961578688278,22.97884112526444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/240336411,,residential,,88.43992721643133,22.977005261181517,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,
way/240336413,,residential,,88.43816956377414,22.97947829248582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/240336414,,residential,,88.44087659832174,22.97790787683106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/240336417,,residential,,88.4373118707619,22.97811921588325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/240336418,,residential,,88.43796473362424,22.97812415449821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/240336420,,residential,,88.44266923164068,22.979578067437476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/240336422,,residential,,88.4371132,22.976053049999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/240336423,,residential,,88.44029719767641,22.97820643020112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/240336653,,residential,,88.44473310804788,22.976859586231786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/240336654,,residential,,88.43821475,22.97701485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/240336655,,residential,,88.4442151,22.976112800000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/240336656,,residential,,88.44374854531755,22.975341547469775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/240618496,,residential,,88.425421850879,22.982743702257384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/240618497,,residential,,88.42629683866481,22.983286509928288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/240618498,,residential,,88.42681485921175,22.98212220700746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/240618499,,residential,,88.42625415,22.98262615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/240618500,,residential,,88.42532424451377,22.98177496164573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/240618502,,residential,,88.42776939732501,22.981676495197863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/240618503,,residential,,88.42498889999999,22.9808145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/240618504,,residential,,88.42440047340453,22.98139245121897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/240618506,,residential,,88.4277524799156,22.981097582189072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/240618507,,residential,,88.42727161925292,22.98480977212997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
