id,lat,lon,tag_key,tag_value
3834817496,46.8681418,-71.2745152,highway,bus_stop
3834817498,46.8741661,-71.2748765,highway,bus_stop
3834817499,46.8759327,-71.2821871,highway,bus_stop
3834817500,46.8784154,-71.2845424,highway,bus_stop
3834817501,46.8808342,-71.2868225,highway,bus_stop
3834817507,46.8598955,-71.2646362,highway,bus_stop
3834854865,46.8589022,-71.2733693,highway,bus_stop
3834854866,46.8603329,-71.2711939,highway,bus_stop
4671775436,46.8662122,-71.2892957,highway,traffic_signals
4787859867,46.8984733,-71.2887153,highway,turning_circle
4790130523,46.8771632,-71.2359571,highway,street_lamp
4790656773,46.8767052,-71.2350719,highway,bus_stop
4790656774,46.8764485,-71.2353198,highway,bus_stop
5258670360,46.8769939,-71.2438100,highway,bus_stop
5291767178,46.8762110,-71.2349742,highway,stop
5624723283,46.8775416,-71.2329304,highway,bus_stop
5638920825,46.8664218,-71.2610418,highway,turning_circle
6092932990,46.8693940,-71.2580640,highway,speed_camera
6092932998,46.8860950,-71.2845930,highway,speed_camera
6092933028,46.8806830,-71.2562430,highway,speed_camera
8280451475,46.8533612,-71.2351171,highway,crossing
9206585530,46.8710117,-71.2779236,highway,bus_stop
9206585531,46.8727262,-71.2795007,highway,bus_stop
9206585532,46.8760596,-71.2825839,highway,bus_stop
9206585533,46.8785668,-71.2849644,highway,bus_stop
9206585534,46.8810249,-71.2872882,highway,bus_stop
9208383761,46.8598013,-71.2648022,highway,bus_stop
9208383762,46.8620186,-71.2675327,highway,bus_stop
9208383763,46.8658084,-71.2720066,highway,bus_stop
9208383764,46.8682364,-71.2749141,highway,bus_stop
9234138515,46.8725015,-71.2790313,highway,bus_stop
9234138516,46.8707655,-71.2774515,highway,bus_stop
9821371924,46.8601397,-71.2650798,highway,crossing
9821371925,46.8605512,-71.2640775,highway,crossing
9821374497,46.8613170,-71.2619215,highway,crossing
11851720460,46.8506276,-71.2405263,highway,crossing
12658398117,46.8629778,-71.2439244,highway,crossing
