Node ID,Latitude,Longitude,Edge
1327293156,23.5397709,87.2288449,"(1327293156, 1327293157)"
1327293157,23.5402901,87.2290534,"(1327293157, 1327293159)"
1327293159,23.5403604,87.2498817,"(1327293159, 1327293161)"
1327293161,23.5405742,87.2295943,"(1327293161, 1327293162)"
1327293162,23.540655,87.2302496,"(1327293162, 1327293164)"
1327293164,23.5408204,87.2311915,"(1327293164, 1327293171)"
1327293171,23.5413615,87.2488905,"(1327293171, 1327293172)"
1327293172,23.54176,87.2413989,"(1327293172, 1327293174)"
1327293174,23.5428083,87.2424955,"(1327293174, 1327293175)"
1327293175,23.5438124,87.238696,"(1327293175, 1327293178)"
1327293178,23.5444996,87.2379547,"(1327293178, 1327293180)"
1327293180,23.5452804,87.2366972,"(1327293180, 1327293181)"
1327293181,23.5456161,87.23604,"(1327293181, 1327293185)"
1327293185,23.5460127,87.2437665,"(1327293185, 1327293186)"
1327293186,23.5466442,87.2432793,"(1327293186, 1327293194)"
1327293194,23.5539903,87.2394657,"(1327293194, 1327293195)"
1327293195,23.5549759,87.2389281,"(1327293195, 1327293196)"
1327293196,23.5559307,87.2385753,"(1327293196, 1327306634)"
1327306634,23.5098532,87.2983281,"(1327306634, 1327306652)"
1327306652,23.5213122,87.3001283,"(1327306652, 1327306654)"
1327306654,23.521558,87.3001669,"(1327306654, 1327306655)"
1327306655,23.5218986,87.2999734,"(1327306655, 1327306656)"
1327306656,23.5220357,87.3003292,"(1327306656, 1327306657)"
1327306657,23.5223897,87.2999788,"(1327306657, 1327306660)"
1327306660,23.5224543,87.3005763,"(1327306660, 1327306662)"
1327306662,23.522832,87.3009057,"(1327306662, 1327306664)"
1327306664,23.522927,87.30008,"(1327306664, 1327306665)"
1327306665,23.5231149,87.3013845,"(1327306665, 1327306666)"
1327306666,23.5231761,87.3043014,"(1327306666, 1327306667)"
1327306667,23.5232103,87.3049445,"(1327306667, 1327306668)"
1327306668,23.523296,87.3035502,"(1327306668, 1327306669)"
1327306669,23.5233225,87.3018746,"(1327306669, 1327306670)"
1327306670,23.5233074,87.3052821,"(1327306670, 1327306671)"
1327306671,23.5234001,87.3028269,"(1327306671, 1327306672)"
1327306672,23.523408,87.3024917,"(1327306672, 1327306673)"
1327306673,23.5235822,87.3003708,"(1327306673, 1327306675)"
1327306675,23.5236476,87.3059715,"(1327306675, 1327306676)"
1327306676,23.5240321,87.306387,"(1327306676, 1327306679)"
1327306679,23.5245135,87.3067031,"(1327306679, 1327306680)"
1327306680,23.524911,87.3068466,"(1327306680, 1327306683)"
1327306683,23.5252482,87.3069239,"(1327306683, 1327306684)"
1327306684,23.5260817,87.306817,"(1327306684, 1327306685)"
1327306685,23.5265113,87.3066319,"(1327306685, 1327306686)"
1327306686,23.5264593,87.3022449,"(1327306686, 1327306687)"
1327306687,23.5268602,87.302525,"(1327306687, 1327306689)"
1327306689,23.5268853,87.3063649,"(1327306689, 1327306690)"
1327306690,23.5271546,87.3028393,"(1327306690, 1327306691)"
1327306691,23.5272298,87.3059823,"(1327306691, 1327306692)"
1327306692,23.5274428,87.3032971,"(1327306692, 1327306693)"
1327306693,23.527518,87.3054903,"(1327306693, 1327306694)"
1327306694,23.5276526,87.3038386,"(1327306694, 1327306696)"
1327306696,23.5277122,87.304445,"(1327306696, 1327306697)"
1327306697,23.5278555,87.2634863,"(1327306697, 1327306698)"
1327306698,23.5285729,87.262878,"(1327306698, 1327306699)"
1327306699,23.5298576,87.2620106,"(1327306699, 1327306707)"
1327306707,23.5334425,87.2598755,"(1327306707, 1327306711)"
1327306711,23.5564053,87.2479586,"(1327306711, 1327306712)"
1327306712,23.5567077,87.2386274,"(1327306712, 1327306717)"
1327306717,23.556968,87.2475049,"(1327306717, 1327306718)"
1327306718,23.5571539,87.2386787,"(1327306718, 1327306719)"
1327306719,23.5572972,87.2468733,"(1327306719, 1327306720)"
1327306720,23.5576511,87.2456145,"(1327306720, 1327306722)"
1327306722,23.5576393,87.2388922,"(1327306722, 1327306723)"
1327306723,23.558109,87.239268,"(1327306723, 1327306724)"
1327306724,23.5582949,87.2425561,"(1327306724, 1327306725)"
1327306725,23.5584065,87.2399427,"(1327306725, 1327306726)"
1327306726,23.5584796,87.2410183,"(1327306726, 1327306727)"
1327306727,23.5584848,87.2405747,"(1327306727, 1327327554)"
1327327554,23.5774398,87.3424808,"(1327327554, 1327327561)"
1327327561,23.5788173,87.3450037,"(1327327561, 1327327564)"
1327327564,23.5794323,87.3439301,"(1327327564, 1327327567)"
1327327567,23.5801211,87.3457821,"(1327327567, 1327327569)"
1327327569,23.5803836,87.3427149,"(1327327569, 1327327570)"
1327327570,23.5805835,87.3423843,"(1327327570, 1327327572)"
1327327572,23.5806319,87.3436041,"(1327327572, 1327327574)"
1327327574,23.5807114,87.3450037,"(1327327574, 1327327579)"
1327327579,23.5814503,87.3424411,"(1327327579, 1327327582)"
1327327582,23.5827285,87.3269406,"(1327327582, 1327327586)"
1327327586,23.5845241,87.3478487,"(1327327586, 1327327588)"
1327327588,23.5856556,87.3485734,"(1327327588, 1327327594)"
1327327594,23.586,87.3246861,"(1327327594, 1327327602)"
1327327602,23.5871069,87.3211701,"(1327327602, 1327327612)"
1327327612,23.5886811,87.3401726,"(1327327612, 1327327613)"
1327327613,23.5887795,87.3446548,"(1327327613, 1327327616)"
1327327616,23.5889271,87.3330332,"(1327327616, 1327327632)"
1327327632,23.5904521,87.3235051,"(1327327632, 1327568553)"
1327568553,23.55683,87.2384508,"(1327568553, 1327568554)"
1327568554,23.5598815,87.2382788,"(1327568554, 1327568555)"
1327568555,23.5607688,87.2382086,"(1327568555, 1327568556)"
1327568556,23.5612868,87.2380202,"(1327568556, 1327568557)"
1327568557,23.561739,87.2377422,"(1327568557, 1327568558)"
1327568558,23.5623557,87.2369707,"(1327568558, 1327568559)"
1327568559,23.5627883,87.2362894,"(1327568559, 1327568560)"
1327568560,23.5631149,87.2356196,"(1327568560, 1327568561)"
1327568561,23.5634164,87.2346653,"(1327568561, 1327568562)"
1327568562,23.5639146,87.2322869,"(1327568562, 1327568563)"
1327568563,23.5671695,87.2165122,"(1327568563, 1327568564)"
1327568564,23.5671517,87.2163574,"(1327568564, 1327568565)"
1327568565,23.5673884,87.2155765,"(1327568565, 1327814882)"
1327814882,23.5821516,87.3496125,"(1327814882, 1327814883)"
1327814883,23.582578,87.3481462,"(1327814883, 1327814884)"
1327814884,23.5909878,87.3589019,"(1327814884, 1330038641)"
1330038641,23.6524284,87.1297822,"(1330038641, 1330038660)"
1330038660,23.6532088,87.1272068,"(1330038660, 1330038671)"
1330038671,23.6536834,87.1255805,"(1330038671, 1330038698)"
1330038698,23.6544878,87.1228283,"(1330038698, 1330038729)"
1330038729,23.6552899,87.120053,"(1330038729, 1330038783)"
1330038783,23.6567694,87.1179942,"(1330038783, 1330038832)"
1330038832,23.658469,87.115595,"(1330038832, 1330038874)"
1330038874,23.6601543,87.1132435,"(1330038874, 1330038901)"
1330038901,23.6618438,87.1108438,"(1330038901, 1330038935)"
1330038935,23.6635676,87.1084221,"(1330038935, 1330038980)"
1330038980,23.6651331,87.106391,"(1330038980, 1330039007)"
1330039007,23.6656308,87.104329,"(1330039007, 1330039022)"
1330039022,23.666324,87.1011753,"(1330039022, 1330039031)"
1330039031,23.6668261,87.0989338,"(1330039031, 1330039077)"
1330039077,23.6675371,87.0957389,"(1330039077, 1330039115)"
1330039115,23.6683237,87.0922989,"(1330039115, 1330039151)"
1330039151,23.6689991,87.0892666,"(1330039151, 1330039174)"
1330039174,23.6697123,87.0860716,"(1330039174, 1330039176)"
1330039176,23.6703247,87.0833258,"(1330039176, 1330039180)"
1330039180,23.6710232,87.0801937,"(1330039180, 1330039193)"
1330039193,23.6717275,87.07704,"(1330039193, 1330039205)"
1330039205,23.6725073,87.0742551,"(1330039205, 1330039220)"
1330039220,23.6733494,87.0712372,"(1330039220, 1330039241)"
1330039241,23.674122,87.0231811,"(1330039241, 1330039243)"
1330039243,23.6742292,87.0681539,"(1330039243, 1330039264)"
1330039264,23.6751024,87.0649954,"(1330039264, 1330039265)"
1330039265,23.6753882,87.0258454,"(1330039265, 1330039269)"
1330039269,23.6759444,87.0619776,"(1330039269, 1330039284)"
1330039284,23.6766276,87.0284622,"(1330039284, 1330039286)"
1330039286,23.6769131,87.0369277,"(1330039286, 1330039288)"
1330039288,23.6769175,87.0585255,"(1330039288, 1330039302)"
1330039302,23.6772907,87.0390358,"(1330039302, 1330039304)"
1330039304,23.6776047,87.0560972,"(1330039304, 1330039306)"
1330039306,23.6777084,87.0355376,"(1330039306, 1330039307)"
1330039307,23.677784,87.0417868,"(1330039307, 1330039308)"
1330039308,23.6778944,87.0311397,"(1330039308, 1330039309)"
1330039309,23.6782816,87.0445668,"(1330039309, 1330039328)"
1330039328,23.6784905,87.0529677,"(1330039328, 1330039331)"
1330039331,23.6787682,87.0472572,"(1330039331, 1330039333)"
1330039333,23.6789462,87.0333606,"(1330039333, 1330039345)"
1330039345,23.6792858,87.050127,"(1330039345, 1330191191)"
1330191191,23.264171,87.8073025,"(1330191191, 1330191195)"
1330191195,23.2656501,87.8044858,"(1330191195, 1330191196)"
1330191196,23.2670678,87.8016015,"(1330191196, 1330191206)"
1330191206,23.2685564,87.798722,"(1330191206, 1330191209)"
1330191209,23.2699932,87.7959159,"(1330191209, 1330191211)"
1330191211,23.2713988,87.7931041,"(1330191211, 1330191216)"
1330191216,23.2728122,87.7903177,"(1330191216, 1330191225)"
1330191225,23.2742567,87.7875144,"(1330191225, 1330191228)"
1330191228,23.2755974,87.7848184,"(1330191228, 1330191231)"
1330191231,23.2762587,87.7816425,"(1330191231, 1330191243)"
1330191243,23.2769226,87.7783593,"(1330191243, 1330191245)"
1330191245,23.2775398,87.7751466,"(1330191245, 1330191253)"
1330191253,23.2781829,87.7719424,"(1330191253, 1330191256)"
1330191256,23.2788079,87.768806,"(1330191256, 1330191259)"
1330191259,23.2794614,87.7655369,"(1330191259, 1330191263)"
1330191263,23.28005,87.762488,"(1330191263, 1330191266)"
1330191266,23.280688,87.7593093,"(1330191266, 1330191270)"
1330191270,23.2813337,87.7560712,"(1330191270, 1330191272)"
1330191272,23.2819535,87.7528586,"(1330191272, 1330191284)"
1330191284,23.2826095,87.7496742,"(1330191284, 1330191286)"
1330191286,23.2832552,87.7462837,"(1330191286, 1330191292)"
1330191292,23.2837868,87.7435848,"(1330191292, 1330191295)"
1330191295,23.2844118,87.7403609,"(1330191295, 1330191300)"
1330191300,23.2863773,87.7379281,"(1330191300, 1330191313)"
1330191313,23.2883196,87.7354579,"(1330191313, 1330191321)"
1330191321,23.290311,87.7329906,"(1330191321, 1330191322)"
1330191322,23.2923439,87.7304837,"(1330191322, 1330191323)"
1330191323,23.2942731,87.7280672,"(1330191323, 1330191337)"
1330191337,23.2962515,87.725597,"(1330191337, 1330191342)"
1330191342,23.2981313,87.723251,"(1330191342, 1330191344)"
1330191344,23.3000941,87.720795,"(1330191344, 1330191351)"
1330191351,23.3020802,87.7183445,"(1330191351, 1330191355)"
1330191355,23.304074,87.7158377,"(1330191355, 1330191357)"
1330191357,23.3060393,87.7133788,"(1330191357, 1330191360)"
1330191360,23.3080253,87.7109086,"(1330191360, 1330191361)"
1330191361,23.3100087,87.7084328,"(1330191361, 1330191364)"
1330191364,23.3119765,87.7059428,"(1330191364, 1330191365)"
1330191365,23.3139754,87.7034614,"(1330191365, 1330191366)"
1330191366,23.3159379,87.7010279,"(1330191366, 1330191369)"
1330191369,23.3180353,87.6983912,"(1330191369, 1330191370)"
1330191370,23.3192874,87.6955794,"(1330191370, 1330191371)"
1330191371,23.3205836,87.6925982,"(1330191371, 1330191372)"
1330191372,23.3218824,87.6896651,"(1330191372, 1330191374)"
1330191374,23.3231812,87.6867122,"(1330191374, 1330191375)"
1330191375,23.3244152,87.6838976,"(1330191375, 1330191378)"
1330191378,23.3256828,87.6810039,"(1330191378, 1330191381)"
1330191381,23.3269349,87.6781781,"(1330191381, 1330191382)"
1330191382,23.3281844,87.6753155,"(1330191382, 1330191384)"
1330191384,23.3294443,87.6724642,"(1330191384, 1330191385)"
1330191385,23.3306977,87.66959,"(1330191385, 1330191386)"
1330191386,23.3313366,87.6681251,"(1330191386, 1330191388)"
1330191388,23.3328141,87.6655279,"(1330191388, 1330191391)"
1330191391,23.3343228,87.662846,"(1330191391, 1330191393)"
1330191393,23.3358211,87.6601556,"(1330191393, 1330191394)"
1330191394,23.3373763,87.6574145,"(1330191394, 1330191395)"
1330191395,23.3387605,87.6549019,"(1330191395, 1330191396)"
1330191396,23.3402613,87.6522313,"(1330191396, 1330191399)"
1330191399,23.341775,87.6495381,"(1330191399, 1330253498)"
1330253498,23.5039364,87.3724229,"(1330253498, 1330253499)"
1330253499,23.5043492,87.3754206,"(1330253499, 1330253500)"
1330253500,23.5062167,87.3736949,"(1330253500, 1330253501)"
1330253501,23.5073607,87.3719454,"(1330253501, 1330253502)"
1330253502,23.5077223,87.3744766,"(1330253502, 1330253503)"
1330253503,23.5089402,87.3732554,"(1330253503, 1330253504)"
1330253504,23.5108331,87.3714435,"(1330253504, 1330253505)"
1330253505,23.51107,87.3735641,"(1330253505, 1330253506)"
1330253506,23.5111292,87.3766579,"(1330253506, 1330253507)"
1330253507,23.5114937,87.3728396,"(1330253507, 1330253509)"
1330253509,23.5125269,87.3769591,"(1330253509, 1330253510)"
1330253510,23.512845,87.3743295,"(1330253510, 1330253511)"
1330253511,23.5131554,87.3729692,"(1330253511, 1330253512)"
1330253512,23.5139775,87.372417,"(1330253512, 1330253513)"
1330253513,23.5140308,87.3727339,"(1330253513, 1330253515)"
1330253515,23.5145369,87.3709594,"(1330253515, 1330253516)"
1330253516,23.5145836,87.3743859,"(1330253516, 1330253517)"
1330253517,23.5149256,87.3733405,"(1330253517, 1330253518)"
1330253518,23.5154382,87.3703909,"(1330253518, 1330253519)"
1330253519,23.515776,87.3717167,"(1330253519, 1330253520)"
1330253520,23.5158274,87.3702921,"(1330253520, 1330253521)"
1330253521,23.5159953,87.3725778,"(1330253521, 1330253522)"
1330253522,23.5162447,87.3683276,"(1330253522, 1330253523)"
1330253523,23.5171201,87.3680654,"(1330253523, 1330253525)"
1330253525,23.5171376,87.3725661,"(1330253525, 1330253526)"
1330253526,23.5176287,87.3705445,"(1330253526, 1330253527)"
1330253527,23.5176586,87.3677892,"(1330253527, 1330253528)"
1330253528,23.5184659,87.3740948,"(1330253528, 1330253530)"
1330253530,23.5185949,87.370169,"(1330253530, 1330253531)"
1330253531,23.5188116,87.3656886,"(1330253531, 1330253532)"
1330253532,23.5191737,87.3686212,"(1330253532, 1330253533)"
